date,description,amount,merchant
2024-01-01,Rent,-1200.00,Landlord
2024-01-05,Groceries,-80.00,Market
2024-01-07,Subscription,-9.99,SaaS App
2024-01-08,Fuel,-45.00,Gas Station
2024-01-09,Gym,-40.00,FitClub
2024-01-10,Streaming,-12.99,StreamCo
2024-01-12,Internet,-60.00,ISP Co
2024-01-14,Dining,-28.50,Sushi Place
2024-01-18,Transport,-20.00,Metro
2024-01-20,Groceries,-100.50,Market
2024-01-22,Fuel,-35.00,Gas Station
2024-01-25,Mobile,-45.00,Telco Co
2024-01-27,Salary,5000.00,Employer
2024-01-28,Utilities,-85.00,City Utilities
2024-01-15,Home Insurance,-120.00,Home Insurance Co
2024-01-15,Car Insurance,-90.00,Auto Insurance Co

2024-02-01,Rent,-1200.00,Landlord
2024-02-05,Groceries,-75.00,Market
2024-02-07,Subscription,-9.99,SaaS App
2024-02-08,Fuel,-42.00,Gas Station
2024-02-09,Gym,-40.00,FitClub
2024-02-10,Streaming,-12.99,StreamCo
2024-02-12,Internet,-60.00,ISP Co
2024-02-14,Dining,-32.00,Burger Spot
2024-02-20,Groceries,-95.25,Market
2024-02-22,Fuel,-33.00,Gas Station
2024-02-25,Mobile,-45.00,Telco Co
2024-02-27,Salary,5000.00,Employer
2024-02-28,Utilities,-88.00,City Utilities
2024-02-15,Home Insurance,-120.00,Home Insurance Co
2024-02-15,Car Insurance,-90.00,Auto Insurance Co

2024-03-01,Rent,-1200.00,Landlord
2024-03-05,Groceries,-82.50,Market
2024-03-07,Subscription,-9.99,SaaS App
2024-03-08,Fuel,-44.00,Gas Station
2024-03-09,Gym,-40.00,FitClub
2024-03-10,Streaming,-12.99,StreamCo
2024-03-12,Internet,-60.00,ISP Co
2024-03-14,Dining,-26.00,Sushi Place
2024-03-16,Entertainment,-50.00,Cinema
2024-03-18,Transport,-20.00,Metro
2024-03-20,Groceries,-98.40,Market
2024-03-22,Fuel,-34.00,Gas Station
2024-03-25,Mobile,-45.00,Telco Co
2024-03-27,Salary,5000.00,Employer
2024-03-28,Utilities,-90.00,City Utilities
2024-03-15,Home Insurance,-120.00,Home Insurance Co
2024-03-15,Car Insurance,-90.00,Auto Insurance Co
2024-03-05,Household,-35.50,Hardware Store

2024-04-01,Rent,-1200.00,Landlord
2024-04-05,Groceries,-85.00,Market
2024-04-07,Subscription,-9.99,SaaS App
2024-04-08,Fuel,-41.00,Gas Station
2024-04-09,Gym,-40.00,FitClub
2024-04-10,Streaming,-12.99,StreamCo
2024-04-12,Internet,-60.00,ISP Co
2024-04-12,Flight,-320.00,Airline
2024-04-13,Hotel,-450.00,Hotel
2024-04-14,Taxi,-30.00,Taxi Co
2024-04-14,Dining,-35.00,Burger Spot
2024-04-16,Entertainment,-50.00,Cinema
2024-04-20,Groceries,-102.30,Market
2024-04-22,Fuel,-36.00,Gas Station
2024-04-25,Mobile,-45.00,Telco Co
2024-04-27,Salary,5000.00,Employer
2024-04-28,Utilities,-92.00,City Utilities
2024-04-15,Home Insurance,-120.00,Home Insurance Co
2024-04-15,Car Insurance,-90.00,Auto Insurance Co

2024-05-01,Rent,-1200.00,Landlord
2024-05-05,Groceries,-88.00,Market
2024-05-07,Subscription,-9.99,SaaS App
2024-05-08,Fuel,-43.00,Gas Station
2024-05-09,Gym,-40.00,FitClub
2024-05-10,Streaming,-12.99,StreamCo
2024-05-12,Internet,-60.00,ISP Co
2024-05-14,Dining,-29.75,Sushi Place
2024-05-20,Groceries,-110.00,Market
