date,description,amount,merchant
2025-10-14,Coffee,-4.25,Cafe
2025-10-14,Ride Share,-12.30,RideNow
2025-10-13,Groceries,-62.18,Market
2025-10-12,Internet,-60.00,ISP Co
2025-10-12,Salary,2500.00,Employer
2025-10-11,Dining,-25.50,Sushi Place
2025-10-10,Streaming,-12.99,StreamCo
2025-10-09,Gym,-40.00,FitClub
2025-10-08,Fuel,-45.00,Gas Station
2025-10-05,Pharmacy,-18.00,HealthStore
2025-10-01,Rent,-1200.00,Landlord
2025-09-28,Utilities,-85.00,City Utilities
2025-09-25,Mobile,-45.00,Telco Co
2025-09-20,Groceries,-74.87,Market
2025-09-15,Dining,-30.00,Burger Spot
2025-09-10,Transport,-20.00,Metro
2025-09-01,Subscription,-9.99,SaaS App
2025-08-25,Entertainment,-50.00,Cinema
2025-08-15,Travel,-200.00,Airline
2025-08-05,Household,-35.50,Hardware Store
2025-07-25,Gift,-40.00,Gift Shop
2025-07-18,Groceries,-65.00,Market
2025-07-10,Dining,-27.00,Pizza Place
2025-06-30,Fuel,-30.00,Gas Station
2025-06-15,Internet,-60.00,ISP Co
